transaction_id,timestamp,customer_id,customer_name,product_name,product_category,quantity,price,total_amount,payment_method,store_location
a6eb04cd-e392-4f57-bb63-f12b44798b0d,2025-09-15 11:15:49.623087,d359bb49-c91a-49bd-bfad-c1c5d9bc7d54,Jenny Herman,charge,Groceries,7,184.91,1294.37,Online Payment,East Heidi
d9c8cfa0-8d74-4ab2-a90f-4aac2cbc37b5,2025-09-15 11:15:49.623278,ec6a1a17-77b6-4a9a-b8b8-e4f3d428077d,Michael Smith,bill,Electronics,5,66.85,334.25,Online Payment,Williamhaven
f61de13b-df97-4d05-a2e5-08d8ba30f277,2025-09-15 11:15:49.623396,4d909129-fad5-46a9-a726-d42b41e620a6,Isaiah Jimenez,responsibility,Beauty,9,99.66,896.94,Online Payment,New Steven
628f4186-fa5e-4857-b819-d23029d85bc0,2025-09-15 11:15:49.623495,bd043654-ed18-4992-83c9-ad18e7e211c5,Nathan Valdez,walk,Electronics,6,160.26,961.56,Cash,West Gail
7c452732-1090-4fe7-89db-fa108a60d7fc,2025-09-15 11:15:49.623608,a735e850-48a0-4e68-90b3-3af7eac6d6dd,Steven Robbins,government,Beauty,4,445.7,1782.8,Debit Card,Jenkinsville
977d4fc1-f0d9-4281-9add-79000a07ff2a,2025-09-15 11:15:49.623719,c79e0b90-b749-4cd2-8207-69526cbdd771,Mr. Alejandro Henry MD,agent,Groceries,2,78.59,157.18,Cash,New Lori
e82dbba5-e1c6-4ef4-8656-7cf50f7cae09,2025-09-15 11:15:49.623820,94ebea6f-9c20-49e3-beb2-601dae012b30,Glen Reyes,ball,Home Goods,6,311.76,1870.56,Cash,Brandyfort
8d1cdad4-6293-4680-b71c-b1065dec4910,2025-09-15 11:15:49.623915,10e1e1dc-e110-4dd1-90cb-77a470911f0e,Joann Goodman,test,Apparel,9,342.78,3085.02,Credit Card,Carterville
e280ee33-3c0a-46eb-941b-f4ed87e9d209,2025-09-15 11:15:49.624029,f71f9dbd-021f-4c5e-b717-3f94c23ad35b,Angela Wilson,agreement,Home Goods,1,478.99,478.99,Online Payment,East Mariochester
f04cf775-67a1-4678-bb39-c2a439e33cfc,2025-09-15 11:15:49.624126,d15c26d0-4f4b-4b9a-89fd-4b0d1c662c78,Joan Taylor,ground,Groceries,9,45.73,411.57,Cash,Lake Zachary
